title,star,review,date,help,,
Best Quality Natural Face Wash at this Price Range.,5.0 out of 5 stars,Best Quality Natural Face Wash at this Price Range.,Reviewed in India on 22 March 2022,,,
Quality worth it,5.0 out of 5 stars,Amazing cleaning of face,Reviewed in India on 6 October 2021,,,
Very nice,5.0 out of 5 stars,Very nice,Reviewed in India on 24 November 2021,,,
ONE OF A KIND,5.0 out of 5 stars,"I have a highly sensitive skin and I usually refrain from using creams in normal days. A friend of mine suggested me the product and it worked out awesome. It's a non-sticky massage cream with a moisturizing effect. The skin feels awesome after a unit of use. (Sadly, I'm struggling with its availability in the online and offline market)",Reviewed in India on 16 January 2023,,,
okay but not very good.,3.0 out of 5 stars,"The scent is too strong. Also, it causes pimples if not completely removed from the skin.",Reviewed in India on 1 January 2023,,,
Fake Khadi cream,5.0 out of 5 stars,"Mai kafi time se is cream ko  use karti aa  rahi hu bahut achi cream hai ,pr is baar mujhe ye duplicate product mila ,itni tez perfume jaisi smell hai isme ki laga hi nhi sakte ,pack open karte hi maine finger tips pe liya aur jaise hi apply karne lagi maine kaha arey ye to khadi nhi hai......phir old packaging se milaya to thoda difference logo colour ka dikha ,pic me jo upper tub hai wo real hai neeche wala tub pack fake hai ,maine Khadi naturals ki website se bhi chk kiya.Amazon ko in sab cheezo pe dhyan dena chahiye trust karte hain hum log...humare area me to koi bhi khadi store nhi hai😟",Reviewed in India on 1 December 2022,3 people found this helpful,,
nice clean up scrub,4.0 out of 5 stars,use it once in a week,Reviewed in India on 19 October 2022,,,
Pure ayurved,4.0 out of 5 stars,Massage purposes,Reviewed in India on 30 January 2022,,,
"Used it before, trying it again.",5.0 out of 5 stars,"Have used it years ago when I had discovered the brand Khadi. This cream is subtle, and as effective as other more chemical based creams. Didn't experience an issue earlier and certainly hoping no issues to happen now either.Like any skin product, you need to try it for some time to see the result. It is organic which is a incentive but the fact that it is from small scale industries I have more reasons to support it.",Reviewed in India on 14 September 2020,3 people found this helpful,,
Good product,4.0 out of 5 stars,I have used this massage cream and the results are good as any other chemical based massage cream can do.,Reviewed in India on 10 April 2021,,,
Good for oily skin,4.0 out of 5 stars,The product image and description shown here is misleading. Khadi also has a cream version of this product but the product we get here is gold massage gel. The gel is quite thick with gold shimmering particles and is some what harder to apply. But it works fine with wet hands. It cleanses the skin well and also imparts a noticeable glow to skin the next day. Overall it's a good option for oily skinned beauties out there.,Reviewed in India on 11 June 2016,,,
Average,4.0 out of 5 stars,"It's a normal cream, although leaves sparkle when used but not so great as a massage cream, it's gud for normal skin definitely not for dry skin. Not buying again",Reviewed in India on 6 June 2020,,,
Budget friendly,4.0 out of 5 stars,Good budget friendly massage cream for daily basis,Reviewed in India on 29 April 2021,,,
u cannot expect more in this price,3.0 out of 5 stars,"its packaging was good....original product but it has a strong smell, i don't find it very pleasent...and its not a proper gold cream its just shimmer which u can see after applying...u cannot expect anything eles in this price...i did not apply this on my face and i'm not going to buy it again...",Reviewed in India on 10 November 2019,One person found this helpful,,
Just amazing,5.0 out of 5 stars,"This is the first time am using any khadi product. And i did not know that the products could actually have an impact on the skin. So clean and supple and brightened. Till today i used products for the formality of it, without any real change seen but this time i can say certainly these products bring a remarkable change. M gonna switch to khadi for a lifetime it feels like",Reviewed in India on 9 September 2019,4 people found this helpful,,
Very good product from Khadi,3.0 out of 5 stars,It's a good product...go for it for normal to oily skin,Reviewed in India on 21 June 2021,One person found this helpful,,
Simply superb,5.0 out of 5 stars,It brightens the face,Reviewed in India on 8 April 2022,,,
Good cream for Facial at home,4.0 out of 5 stars,"Its a nice facial cream for massage, would definitely recommend it",Reviewed in India on 29 August 2020,,,
Suitable for dry skin,3.0 out of 5 stars,"This cream gives a chip chip feel. Not very much suitable for normal skin.. but unfortunately if you have bought this like me , either take a very small amount of cream or use it as a night cream.But smells really nice.",Reviewed in India on 23 July 2019,One person found this helpful,,
Not good,3.0 out of 5 stars,"Khushabu bahut jayad he,dik hi he .",Reviewed in India on 8 April 2021,One person found this helpful,,
Honest review,4.0 out of 5 stars,If you need all time use crem this is the one you need to buyGood product by khadi gramJai hind jai bharat,Reviewed in India on 13 August 2019,One person found this helpful,,
Very bad...,1.0 out of 5 stars,Bad quality.,Reviewed in India on 15 November 2022,,,
Very good smell of cream,3.0 out of 5 stars,Very good smell of cream. Good for dry skin. It can repair even damaged dry skin. I give 3 rating as it gives little glow to skin. Otherwise cream is good for dry skin to make it smooth . Absolutely no side effects. Recommend to use before sleeping.,Reviewed in India on 12 November 2017,3 people found this helpful,,
Just ok,3.0 out of 5 stars,Gives a bit of shine in face after using multiple times but doesnt last long. Scent of cream is good. Cream is bit oily than expected. Not for oily skin types.,Reviewed in India on 28 June 2019,,,
Tried and tested.,5.0 out of 5 stars,I have already used the cream once and have found it really refreshing. The consistency of the cream is good for massaging your face and mixing a bit of scrub in it. I will recommend this product to every one.,Reviewed in India on 28 January 2020,,,
A good cream. If u apply it at night during ...,4.0 out of 5 stars,A good cream. If u apply it at night during bed time u can feel the difference in the morning as face looks cleaner.May be price can be more economical,Reviewed in India on 15 January 2018,,,
Value for money .,5.0 out of 5 stars,it a very good product ...its showing results in a week .,Reviewed in India on 10 July 2021,,,
Good face massage cream,4.0 out of 5 stars,A little on the expensive side but gives good results with medical treatment,Reviewed in India on 1 June 2019,,,
You could see real difference,5.0 out of 5 stars,"I bought this product 2 months back, it is just awesome. We really could see the changes. All acne on face are clearing up. Just amazing, Khadi products are always quality products..",Reviewed in India on 15 May 2020,,,
Good product,4.0 out of 5 stars,"Nice smell, moisturize well",Reviewed in India on 6 March 2020,,,
It's good for normal skin,3.0 out of 5 stars,"It's good for normal skin,it felt supple but I am not sure if it's any good for acne prone skin/sensitive skin.Keeping in mind the skin type is important before purchasing this product.",Reviewed in India on 9 May 2018,9 people found this helpful,,
Nice cream,4.0 out of 5 stars,Good cream,Reviewed in India on 4 March 2020,,,
The seal was open and looks like some amount of cream has been removed,1.0 out of 5 stars,The seal was open and looks like some amount of cream has been removed,Reviewed in India on 5 June 2022,,,
Amazing,5.0 out of 5 stars,"Amazing !! This is my first cream from Khadi and I just say it's great. The cream claims to contains gold dust, I am not sure about that but in any case the consistency is very good, has great moisturising effect and gives skin nice glow. Even my colleagues at work noticed the difference! I will definitely keep buying this product.",Reviewed in India on 19 February 2017,4 people found this helpful,,
Must buy..Khadi products are amazing,5.0 out of 5 stars,I love this product. I am using this for past 1 month and it makes my skin very soft. It's only for night as a face moisturizing cream. Price is also very less. So if you looking for a night moisturizing cream then surely go for it.,Reviewed in India on 27 April 2018,,,
Good,5.0 out of 5 stars,The product is good,Reviewed in India on 26 June 2021,,,
Good,3.0 out of 5 stars,Good,Reviewed in India on 13 March 2020,,,
Loved it,4.0 out of 5 stars,I am in live WID this...awesome...my face glows after the massage...,Reviewed in India on 4 August 2018,,,
Gud product,4.0 out of 5 stars,Golden shine to face after using..,Reviewed in India on 7 March 2019,,,
Scent & natural herbal,4.0 out of 5 stars,Scent,Reviewed in India on 21 October 2019,,,
Useful,5.0 out of 5 stars,"You can see the change from first use,my skin glowing Nd shining it contains gold bleach also thank you khadi Nd amazon",Reviewed in India on 11 February 2020,,,
Four Stars,4.0 out of 5 stars,It's a wonderful product. Leaves the face very smooth and supple. Very nice fragrance.,Reviewed in India on 26 February 2018,One person found this helpful,,
Really gave a golden glow,4.0 out of 5 stars,"I really liked this massage cream. It totally cleansed my face, and gave a glow. This is one of the best massage creams I've ever used. Will surely buy this again.",Reviewed in India on 23 August 2015,2 people found this helpful,,
Product is ok,3.0 out of 5 stars,Good for face massage,Reviewed in India on 7 November 2019,,,
Nice,4.0 out of 5 stars,Nice,Reviewed in India on 16 August 2019,,,
Love it,5.0 out of 5 stars,Value fr money.. At ni8 time massage own..  And result  nice glow on next morning...,Reviewed in India on 3 May 2020,,,
Good,4.0 out of 5 stars,Good product,Reviewed in India on 24 May 2019,,,
Good quality,5.0 out of 5 stars,Item received on time packaging is good and fragrance of massager pack is also nice,Reviewed in India on 18 May 2020,,,
Good massage cream from khadi,4.0 out of 5 stars,Skin feels smooth after my massaging,Reviewed in India on 23 September 2018,,,
"Plz tell me about yu foundation, extually I am confused which i bought",5.0 out of 5 stars,"From youtube review i have bought this product first time n i really loved it. Its really nice cream. When i use it, it makes my skin soft plane n smooth.",Reviewed in India on 9 September 2018,One person found this helpful,,
��😧😧,3.0 out of 5 stars,Just satisfactory,Reviewed in India on 25 July 2019,,,
Review,2.0 out of 5 stars,I don't think it's original khadi product. Date of mfg.  And expiry not mention. It's not give me satisfactory result. My suggestion go with shop not online for this product.,Reviewed in India on 13 April 2019,,,
"Good product, but if the quantity of shea butter ...",4.0 out of 5 stars,"Good product, but if the quantity of shea butter is more, it would have been more good for those with combination and dry skin.",Reviewed in India on 7 December 2015,One person found this helpful,,
Four Stars,4.0 out of 5 stars,Feels very good on the skin. Good product... worth the buy.,Reviewed in India on 10 November 2017,,,
Soft skin,5.0 out of 5 stars,It soften the skin immediately.Being a natural product it is very skin friendly.,Reviewed in India on 3 March 2020,,,
but good for massage,4.0 out of 5 stars,Little shimmering types...but good for massage...,Reviewed in India on 22 June 2018,,,
Nice fresh fragrance,4.0 out of 5 stars,Very good product,Reviewed in India on 18 October 2018,,,
Great,5.0 out of 5 stars,"It is a good massage cream, moisturises the skin really well.It has gold dust in it which instantly illuminates the skin",Reviewed in India on 5 March 2019,One person found this helpful,,
Very good massaging cream for facial,5.0 out of 5 stars,"Very soft moisture, it also appears a bit glittery which ultimately leads to more shiny face, very nyc smell, mositurises well d face. Happy wid d product",Reviewed in India on 17 July 2018,One person found this helpful,,
Waste of money,1.0 out of 5 stars,Its just waste of money. It caused pimples to my face and its had no good results on the skin,Reviewed in India on 12 September 2021,,,
Suits the price..,3.0 out of 5 stars,"A cream that is worth the price. Use can use it a massage and a lubricant along with your face pack rather than a very ""Gold"" feeling cream",Reviewed in India on 29 November 2014,One person found this helpful,,
Waste of money,2.0 out of 5 stars,Sticky very worst waste of 💰,Reviewed in India on 27 July 2020,,,
Nice,3.0 out of 5 stars,Nice,Reviewed in India on 3 April 2019,,,
Nice,5.0 out of 5 stars,Nice,Reviewed in India on 16 December 2020,,,
Okayish,3.0 out of 5 stars,Nothing great abt it,Reviewed in India on 10 November 2018,,,
It has a little amount of gold,2.0 out of 5 stars,Does give a shine and lusture to your face. However im not sure if it contains chemicals as complete ingredients list is not mentioned . Good for instant glow.,Reviewed in India on 7 November 2018,,,
Good,3.0 out of 5 stars,Nice glow,Reviewed in India on 6 December 2018,,,
Ok,3.0 out of 5 stars,Ok,Reviewed in India on 5 January 2019,,,
Glow,5.0 out of 5 stars,Very good massage cream.. gives instant glow nd stays fr 3 4 days.. awsmm product,Reviewed in India on 28 May 2019,,,
Ok,3.0 out of 5 stars,It's working,Reviewed in India on 8 October 2018,,,
Unsatisfied,2.0 out of 5 stars,Not as expected.,Reviewed in India on 2 July 2020,,,
Poor product,1.0 out of 5 stars,Too much Harsh chemical. It makes my hair tooo rough,Reviewed in India on 12 November 2021,,,
good,3.0 out of 5 stars,good,Reviewed in India on 16 September 2018,,,
Four Stars,4.0 out of 5 stars,good one,Reviewed in India on 10 February 2018,,,
Four Stars,4.0 out of 5 stars,Good product,Reviewed in India on 16 March 2018,,,
Three Stars,3.0 out of 5 stars,its good but it didn't suit my skin type,Reviewed in India on 9 August 2017,One person found this helpful,,
Nice,5.0 out of 5 stars,Its awesome,Reviewed in India on 7 August 2020,,,
Khadi gold massage cream,3.0 out of 5 stars,Good,Reviewed in India on 29 June 2018,,,
Wrost product 😏,1.0 out of 5 stars,"Very bad thing, I received! looks like it's brunt... Also It smell very bad... Don't buy it please... Totally west of money. 😔",Reviewed in India on 6 February 2021,,,
Four Stars,4.0 out of 5 stars,"Very good cream, I saw the difference after single use even.",Reviewed in India on 7 November 2016,,,
Four Stars,4.0 out of 5 stars,good product,Reviewed in India on 22 January 2018,,,
Four Stars,4.0 out of 5 stars,Product is worthful...,Reviewed in India on 6 December 2017,,,
Three Stars,3.0 out of 5 stars,GOOD,Reviewed in India on 17 April 2018,,,
Good,5.0 out of 5 stars,Product is very good but Mfg.date & Exp.date label do not show on this product,Reviewed in India on 3 November 2018,,,
Three Stars,3.0 out of 5 stars,Not good...not bad,Reviewed in India on 13 January 2018,,,
Good,4.0 out of 5 stars,Makes skin soft instantly,Reviewed in India on 19 August 2017,2 people found this helpful,,
Three Stars,3.0 out of 5 stars,Average prouduct,Reviewed in India on 20 January 2018,,,
Just an okay product,3.0 out of 5 stars,"Not that good, just okay. Makes skin dry. Suitable for those having oily skin.",Reviewed in India on 2 October 2015,One person found this helpful,,
Not for oily skin people,2.0 out of 5 stars,Don't buy if you have oily skin,Reviewed in India on 16 June 2019,,,
Superb!!!,5.0 out of 5 stars,Excellent massage cream. Makes the skin really smooth and gives a great glow. Its very nourishing too. I have dry skin and it suited me perfectly. Am definitely going to order again and again.,Reviewed in India on 18 December 2015,6 people found this helpful,,
Great experience,5.0 out of 5 stars,Great product,Reviewed in India on 5 March 2020,,,
Great product,5.0 out of 5 stars,Good One,Reviewed in India on 5 March 2020,,,
Three Stars,3.0 out of 5 stars,ok ok,Reviewed in India on 16 October 2017,,,
why not dilavery sum area,5.0 out of 5 stars,By not dilavering product in sum city like in my place ggaurave complex auri anpara  sonbhdra up 2product are dilevered then no dilavary only i can do cash on dilavery so this problem,Reviewed in India on 9 January 2015,One person found this helpful,,
Three Stars,3.0 out of 5 stars,"just an average product, didnt change anything for me.",Reviewed in India on 14 April 2016,,,
I loved it.,5.0 out of 5 stars,feel refresh and it's really soothing on skin....the smell is just wow..I loved it...audience u can go for this product from Khadi,Reviewed in India on 1 March 2017,One person found this helpful,,
Four Stars,4.0 out of 5 stars,This is worth using,Reviewed in India on 4 July 2016,,,
Three Stars,3.0 out of 5 stars,Good,Reviewed in India on 3 April 2017,,,
Excellent,5.0 out of 5 stars,Excellent,Reviewed in India on 6 October 2019,,,
Best for dry skin,5.0 out of 5 stars,Best product,Reviewed in India on 20 August 2019,,,
Best one,5.0 out of 5 stars,Vry nice product,Reviewed in India on 1 July 2019,,,
Four Stars,4.0 out of 5 stars,"Good product from Khadi, gives instant glow.",Reviewed in India on 28 June 2015,,,
All skin haveebpimples,1.0 out of 5 stars,All skin have pimples,Reviewed in India on 8 July 2021,,,
Three Stars,3.0 out of 5 stars,Chemicals are there,Reviewed in India on 8 July 2016,,,
I love khadi products,5.0 out of 5 stars,I love khadi products. No harmful chemicals are used.This massage cream is absorbed into skin. Nice fragrance.Loved it,Reviewed in India on 21 November 2016,,,
Nice herbal product,5.0 out of 5 stars,It's nice,Reviewed in India on 20 July 2019,,,
Good,5.0 out of 5 stars,Good,Reviewed in India on 1 September 2019,,,
Value for money,5.0 out of 5 stars,Value for money,Reviewed in India on 29 May 2019,,,
Very good,5.0 out of 5 stars,Very goooood,Reviewed in India on 7 July 2019,,,
Four Stars,4.0 out of 5 stars,Good product !!,Reviewed in India on 15 June 2016,,,
Product was good,5.0 out of 5 stars,Nice product,Reviewed in India on 7 May 2019,,,
Three Stars,3.0 out of 5 stars,Ok,Reviewed in India on 8 July 2016,,,
Four Stars,4.0 out of 5 stars,Good one,Reviewed in India on 26 February 2016,,,
Not ok,2.0 out of 5 stars,Not good as a massage cream.......,Reviewed in India on 27 August 2018,,,
i still did not understand why i ordered this product ...,2.0 out of 5 stars,"i still did not understand why i ordered this product, it has absolutely no use and no effect on my skin.",Reviewed in India on 24 September 2015,,,
Three Stars,3.0 out of 5 stars,"OK product, doesn't find anything special.",Reviewed in India on 4 June 2015,,,
not effective,2.0 out of 5 stars,very disappointing,Reviewed in India on 1 December 2018,,,
Excellent,5.0 out of 5 stars,Excellent product for dry skin♥️♥️,Reviewed in India on 24 October 2018,,,
Good pdt,5.0 out of 5 stars,Good product. Feels good after usage,Reviewed in India on 24 August 2018,,,
Three Stars,3.0 out of 5 stars,its good,Reviewed in India on 8 February 2016,,,
Nice,5.0 out of 5 stars,Really high quality item,Reviewed in India on 17 October 2018,,,
Value for money,5.0 out of 5 stars,Good,Reviewed in India on 5 March 2019,,,
Five Stars,5.0 out of 5 stars,Nice for massaging the face and leaves a glow.,Reviewed in India on 11 March 2018,,,
Not impressed,1.0 out of 5 stars,Not very good one . Doesn't show any affect on skin . Doesn't get absorbed in skin rather form flakes on massaging and sheds off.,Reviewed in India on 28 February 2019,4 people found this helpful,,
Four Stars,4.0 out of 5 stars,Effective,Reviewed in India on 9 August 2015,,,
Four Stars,4.0 out of 5 stars,excellent cream.glows your skin,Reviewed in India on 5 January 2015,3 people found this helpful,,
Good,5.0 out of 5 stars,Good,Reviewed in India on 24 January 2019,,,
great product....,5.0 out of 5 stars,i can see the glow on my face ....after using first time....,Reviewed in India on 19 May 2017,One person found this helpful,,
Superb product,5.0 out of 5 stars,All khadi products are simply Superb,Reviewed in India on 3 March 2018,,,
Best product,5.0 out of 5 stars,Best product,Reviewed in India on 29 September 2018,,,
awesome..,5.0 out of 5 stars,Wowwww.. awesome ... Result unbelievable.. 😍,Reviewed in India on 27 February 2018,,,
Five Stars,5.0 out of 5 stars,No doubt about khadi products.  My wife using this product.  Skin is glowing and very effrctive in facial treatement.,Reviewed in India on 12 May 2015,4 people found this helpful,,
Five Stars,5.0 out of 5 stars,Very good product. I love it.,Reviewed in India on 7 October 2017,,,
Five Stars,5.0 out of 5 stars,outstanding,Reviewed in India on 28 April 2018,,,
Loved it!!!,5.0 out of 5 stars,Amazing product at this price ...gives instant glow...n smoothness to the skin...,Reviewed in India on 1 August 2016,,,
Nice !,5.0 out of 5 stars,Wonderful product with Mellow Aroma,Reviewed in India on 24 October 2017,,,
Five Stars,5.0 out of 5 stars,awesome product in gold zone,Reviewed in India on 19 September 2017,,,
Five Stars,5.0 out of 5 stars,Good product. Giving Glow and fairness.,Reviewed in India on 21 August 2017,3 people found this helpful,,
Nyc product,5.0 out of 5 stars,Awesome khadi,Reviewed in India on 24 January 2018,,,
Very good cream.,5.0 out of 5 stars,Genuine product. Good packing. It's a really nice cream - wife's favorite.,Reviewed in India on 14 March 2016,,,
Five Stars,5.0 out of 5 stars,good product,Reviewed in India on 13 July 2017,,,
The cheapest of all on Amazon.,5.0 out of 5 stars,Good cream cheapest on Amazon,Reviewed in India on 7 December 2016,,,
Five Stars,5.0 out of 5 stars,I love this cream...so moisturizing and it smells wonderful,Reviewed in India on 7 May 2016,,,
Five Stars,5.0 out of 5 stars,Good product quality,Reviewed in India on 15 February 2017,One person found this helpful,,
Five Stars,5.0 out of 5 stars,Very useful,Reviewed in India on 20 February 2017,,,
Nice product,5.0 out of 5 stars,Awsome fragrance with good effect.,Reviewed in India on 15 August 2016,,,
Five Stars,5.0 out of 5 stars,nice and good one,Reviewed in India on 12 October 2016,One person found this helpful,,
Five Stars,5.0 out of 5 stars,Excellent,Reviewed in India on 30 January 2017,One person found this helpful,,
Five Stars,5.0 out of 5 stars,Khadi not so bad,Reviewed in India on 13 June 2016,,,
Don't buy,1.0 out of 5 stars,Worst product,Reviewed in India on 6 September 2019,,,
Five Stars,5.0 out of 5 stars,Good one,Reviewed in India on 25 July 2016,,,
Five Stars,5.0 out of 5 stars,Product reached in defined time.,Reviewed in India on 3 January 2016,,,
Five Stars,5.0 out of 5 stars,Excellent and very cheap.,Reviewed in India on 20 February 2016,,,
Five Stars,5.0 out of 5 stars,I loved it. Brings a radiance to your face.,Reviewed in India on 26 April 2015,2 people found this helpful,,
Five Stars,5.0 out of 5 stars,Good,Reviewed in India on 24 June 2016,,,
One Star,1.0 out of 5 stars,Caused acne. Tried this cream three time and got acne next day after the application.,Reviewed in India on 27 January 2018,One person found this helpful,,
very good product.,5.0 out of 5 stars,...very good product...reasonable price....,Reviewed in India on 27 December 2015,One person found this helpful,,
not at all satisfied 😩,1.0 out of 5 stars,I ordered cream bt delivered massage gel.it happened twice but no response.no refund not at all good one by Amazon.actually I love Amazon.but this is not good.,Reviewed in India on 29 August 2015,One person found this helpful,,
Five Stars,5.0 out of 5 stars,Good,Reviewed in India on 6 January 2016,One person found this helpful,,
Five Stars,5.0 out of 5 stars,very good,Reviewed in India on 10 October 2015,4 people found this helpful,,
One Star,1.0 out of 5 stars,worst cream for message  i have ever bought...,Reviewed in India on 6 December 2017,,,
Five Stars,5.0 out of 5 stars,Good one.. Works well..,Reviewed in India on 20 May 2015,One person found this helpful,,
One Star,1.0 out of 5 stars,Not for oily skin.. very oil and sticky .. giving pimples,Reviewed in India on 6 July 2017,,,
One Star,1.0 out of 5 stars,Totally waste of money ..,Reviewed in India on 4 March 2018,,,
One Star,1.0 out of 5 stars,not good...,Reviewed in India on 21 September 2017,,,
Dosent blend smoothly..,1.0 out of 5 stars,Dosent  blend smoothly .. Very sticky,Reviewed in India on 25 February 2017,,,
Good,5.0 out of 5 stars,I like the smell instant glow and skin tightening property...There sud b a bigger pack.Will buy again thanks,Reviewed in India on 18 October 2020,,,
Hello . I didn't got any gift . I was paid for dis cream . Don't say this is gift items.,1.0 out of 5 stars,You said I got gift item .But I didn't get any gift items .please don't cheat customer. I paid for this cream,Reviewed in India on 7 May 2021,,,
One Star,1.0 out of 5 stars,not good,Reviewed in India on 3 April 2015,2 people found this helpful,,
Good Product,5.0 out of 5 stars,It’s good cream/moisturiser for the skin. Worth the money.,Reviewed in India on 27 February 2020,,,
Worth it,5.0 out of 5 stars,Very nice to massage on face and hands after massaging my face feels great and even smells great worth buying,Reviewed in India on 14 January 2019,,,
Awesome quality,5.0 out of 5 stars,"Awesome quality and very helpful to remove suntan and extra dust, easy use product no any side effects thank to khadi.",Reviewed in India on 8 February 2019,,,
Works wonders,5.0 out of 5 stars,Excellent product from khadi.. It works wonders on skin.. Gives immediate glow nd shine to face.. Worth buying it.. Gonna purchase second one.. I luv khadi products.. All are great!! ☺,Reviewed in India on 22 November 2017,,,
यह एक अच्छा प्रोडक्ट है पर हेयर जेल का काम नही कर पता,4.0 out of 5 stars,यह एक प्राकृतिक प्रोडक्ट है पर बालो को अच्छे से सेट नही कर पाता ।,Reviewed in India on 29 August 2022,One person found this helpful,,
"Yes, don't think too much ..you can buy this",4.0 out of 5 stars,"New packaging is improved, quality is ok, texture is also good, go for it ..it's not best but u can buy it.",Reviewed in India on 7 August 2022,,,
Overall good product,4.0 out of 5 stars,"1.  I had reduced 1 star because not sure of 100% chemical free they didn't mention BQ base chemicals .2. Overall good nourishing cream , good smell , 85% ingredients r good products but not sure about balance 15% of BQ3.  I have slightly wavy hair which is dry & hard . This cream is very suitable for dry hair but  for normal hair it may go be greecy look .4. I had used it  for 2 months .I use this cream 2 times a week & coconut  oil 2 times a week as I apply it in night . Next day will wash it with just water for cream & with shampoo for oil .5. This cream will strengthen the roots & nourish scalp . But will not help for lost hair or baldness & also will not help for new hair growth . It just give strength to hair already present in our head .",Reviewed in India on 31 May 2021,6 people found this helpful,,
Awesome product,5.0 out of 5 stars,We were using this product quite long time and a regular customer. Very soothing perfume smell and not that rough like other companies. Texture of the cream also perfect. Suggested to many people and they already tried and satisfied.,Reviewed in India on 26 February 2023,,,
Harmful for scalp health. Hair fall increase after use.,3.0 out of 5 stars,Harmful for head health.,Reviewed in India on 22 August 2022,,,
Good product,5.0 out of 5 stars,It’s non greasy,Reviewed in India on 21 February 2023,,,
Good for day to day usage,4.0 out of 5 stars,"Selected this brand as it doesn't contain parabin and other chemicals, which is generally found in regular brands.Satisfied with usage of my oily hair nature.",Reviewed in India on 8 July 2022,One person found this helpful,,
Good,4.0 out of 5 stars,Good,Reviewed in India on 12 August 2022,,,
Accha hai,5.0 out of 5 stars,Accha hai,Reviewed in India on 18 January 2023,,,
Just Okay,3.0 out of 5 stars,"It's non-sticky and has a mild scent. But doesn't have any nourishing effect on hair. At the same time, it also doesn't affect your hair. So if you want a hair cream for daily use to avoid making your hair look dry, go for it. Other than that nothing special",Reviewed in India on 28 December 2021,,,
Something is Odd. Avoid.,3.0 out of 5 stars,"Firstly, the product is very liquidy kind of runny. Doesn't seem to have a firm texture as other hair cream's do.Secondly, it has a very strange smell. Like it's burnt or something. As even the cap had some dark brown spots in it. Though it was a packed piece, something's just not right. Avoid at best.",Reviewed in India on 11 November 2021,One person found this helpful,,
Definitely a best product for hairloss,5.0 out of 5 stars,I have been using this product for last one month and I must say it has stop my hair loss since day 1. I don't know how. I can't say abouts hair growth yet will definitely update my review after some time.,Reviewed in India on 10 September 2022,,,
"Suitable 4 my curls,my 4th purchase.Delivery person refused doorstep delivery,couldn't find address.",4.0 out of 5 stars,Used this product for my curly hair(after wash)Scent is goodDoes make your hair soft and manageable.Value for money is OK.Editing my review after I opened the bottle today.As you can see in the pic the packaging was really worse and even the smell didn't seem same.REALLY DISAPPOINTED.,Reviewed in India on 2 August 2021,One person found this helpful,,
Nice product..but the packaging is a bit scary.,4.0 out of 5 stars,The product is great but don't know why the plastic bottle of this was burnt.Did the cream react with the plastic or was it during production....no idea.As seen in the reviews one more person got the same issue so might be a batch.,Reviewed in India on 8 August 2021,One person found this helpful,,
Overall Good,4.0 out of 5 stars,Good overall but greasy. Also would prefer a scentless cream.,Reviewed in India on 3 January 2022,,,
Incredible Value for Money,5.0 out of 5 stars,"I’ve tried a lot of hair products. Both cheap and expensive. I have thick curls which often get knotted and dry. So my hair is very finicky. If the product is even slightly drying it produces bad results. This product, by far is the best I’ve ever used. It’s sooo much cheaper than your average conditioner and sooo moisturising and softening, plus it untangles the hair brilliantly.I feel Khadi is the real deal. Forget all this expensive, chemical laden rubbish from fancy brands that scam you. Keep it organic and real. These guys have a genuinely great product line going. They don’t need to waste their resources in packaging and advertising. Hence for all these reasons, I trust their products!",Reviewed in India on 13 November 2020,6 people found this helpful,,
Ok.  Ok.,4.0 out of 5 stars,Thodi costly lage mujhe baki achi hai,Reviewed in India on 30 December 2021,,,
great,5.0 out of 5 stars,great product,Reviewed in India on 30 September 2022,,,
"non greasy, nice fragrance, value for money hair cream",5.0 out of 5 stars,"i was using coconut oil and decided to try this cream. I found the cream non greasy, with subtle nice fragrance and gives a cooling effect.On application initially your hair sticks to the scalp but on combing it gives a nice soft, smooth and straightening texture which remains all day long.one improvement though … glass bottle is messy particularly when you travel … would be nice to have the cream in a tube.",Reviewed in India on 17 July 2021,One person found this helpful,,
Soft hair good scent.,4.0 out of 5 stars,The smell is strong like a perfume its a hair cream it really makes ur hair very smooth the cream is oil base recommend to apply before hair wash/bath. After few hours of applying the cream it dry up & it looks like u have dandruff coz of all white particles.,Reviewed in India on 18 August 2020,,,
Excellent,4.0 out of 5 stars,Excellent,Reviewed in India on 19 December 2021,,,
Nice product,5.0 out of 5 stars,So nice,Reviewed in India on 12 September 2022,,,
Quality is substandard,1.0 out of 5 stars,The product induces more hairfall and dandruff. It is very far from nourishment of hair,Reviewed in India on 29 December 2022,,,
Good product,3.0 out of 5 stars,I gave 3 star to this product.Overall god product,Reviewed in India on 2 December 2021,,,
Very oily,4.0 out of 5 stars,"Very oily, oiled feel if we apply little on hair",Reviewed in India on 1 September 2021,One person found this helpful,,
worth buying,5.0 out of 5 stars,After 1 use my hairfall has reduced. I don't know what other people's experience but mine is soo amazing. This hair cream is amazing,Reviewed in India on 16 May 2022,,,
Too much strong perfume,2.0 out of 5 stars,"Product is hair based cream, but sorry to say it's hair perfume . Too strong smell ,and what kind of smell is that ,mosquito repellent agarbatti alike.Product may be good ,but first smell should be acceptable.Advise to production unit , manufacture it without perfume .",Reviewed in India on 1 January 2022,,,
Product was good but received open box.. inside wrapper was broken,3.0 out of 5 stars,Brocken seal inside.. it seems very old product though showing expiry date of 2024.. see the photos I have uploaded,Reviewed in India on 1 September 2021,,,
